option,installed_blocks,installed_power_mw,installed_energy_mwh,transformer_mva,current_n1_pass,future_capacity_pass,future_n1_pass,current_transformer_loading_percent,future_transformer_loading_percent,current_operating_pass,future_operating_pass,future_ready_pass,future_n1_ready_pass
Option A,10,50.0,100.0,60.0,False,False,False,87.71929824561404,100.87719298245612,True,False,False,False
Option B,11,55.0,110.0,75.0,True,False,False,70.17543859649123,80.7017543859649,True,False,False,False
Option C,12,60.0,120.0,75.0,True,True,False,70.17543859649123,80.7017543859649,True,True,True,False
Option D,13,65.0,130.0,75.0,True,True,True,70.17543859649123,80.7017543859649,True,True,True,True
Option E,13,65.0,130.0,100.0,True,True,True,52.63157894736843,60.52631578947367,True,True,True,True
